sequence,phase,command,cwd,start_utc,end_utc,duration_seconds,exit_code,stdout_log,stderr_log,status,artifacts_created,artifacts_reused,blocker
63,cli_surface,python3 -m certgen kaggle build-input --help,.,2026-07-20T18:54:38.956352Z,2026-07-20T18:54:39.067609Z,0.111206,0,reports/phase1_command_logs/0063_cli_surface.stdout.log,reports/phase1_command_logs/0063_cli_surface.stderr.log,PASS,,,
64,test_discovery,rg --files tests,.,2026-07-20T18:54:46.838037Z,2026-07-20T18:54:46.844791Z,0.006697,0,reports/phase1_command_logs/0064_test_discovery.stdout.log,reports/phase1_command_logs/0064_test_discovery.stderr.log,PASS,,,
65,phase1_tests,python3 -m pytest -q tests/test_phase1_closure.py,.,2026-07-20T18:55:10.995492Z,2026-07-20T18:55:12.022300Z,1.026742,0,reports/phase1_command_logs/0065_phase1_tests.stdout.log,reports/phase1_command_logs/0065_phase1_tests.stderr.log,PASS,,,
66,final_default_pytest,python3 -m pytest -q,.,2026-07-20T18:55:18.513672Z,2026-07-20T18:55:28.573911Z,10.060188,0,reports/phase1_command_logs/0066_final_default_pytest.stdout.log,reports/phase1_command_logs/0066_final_default_pytest.stderr.log,PASS,,,
67,integration_audit,python3 -m pytest -q -m integration_audit,.,2026-07-20T18:55:46.875738Z,2026-07-20T18:56:27.827368Z,40.951589,0,reports/phase1_command_logs/0067_integration_audit.stdout.log,reports/phase1_command_logs/0067_integration_audit.stderr.log,PASS,,,
68,statistical_tests,python3 -m pytest -q tests/test_cvpr_statistical_contract.py tests/test_confidence_sequences.py tests/test_mmd_streams.py tests/test_optional_stopping_lab.py,.,2026-07-20T18:56:30.405916Z,2026-07-20T18:56:31.325142Z,0.919156,0,reports/phase1_command_logs/0068_statistical_tests.stdout.log,reports/phase1_command_logs/0068_statistical_tests.stderr.log,PASS,,,
69,artifact_contract_tests,python3 -m pytest -q tests/test_schemas.py tests/test_feature_cache_v2_contract.py tests/test_engineering_evidence_safety.py,.,2026-07-20T18:56:31.417570Z,2026-07-20T18:56:32.406855Z,0.989220,0,reports/phase1_command_logs/0069_artifact_contract_tests.stdout.log,reports/phase1_command_logs/0069_artifact_contract_tests.stderr.log,PASS,,,
70,runtime_hardening_tests,python3 -m pytest -q tests/test_final_runtime_hardening.py,.,2026-07-20T18:56:32.500615Z,2026-07-20T18:56:34.586671Z,2.085995,0,reports/phase1_command_logs/0070_runtime_hardening_tests.stdout.log,reports/phase1_command_logs/0070_runtime_hardening_tests.stderr.log,PASS,,,
71,real_execution_closure_tests,python3 -m pytest -q tests/test_real_execution_closure.py,.,2026-07-20T18:56:34.678154Z,2026-07-20T18:56:36.218363Z,1.540153,0,reports/phase1_command_logs/0071_real_execution_closure_tests.stdout.log,reports/phase1_command_logs/0071_real_execution_closure_tests.stderr.log,PASS,,,
72,final_readiness_tests,python3 -m pytest -q tests/test_final_100_percent_pre_run.py tests/test_final_run_ready_closure.py,.,2026-07-20T18:56:44.184984Z,2026-07-20T18:56:45.621064Z,1.436023,0,reports/phase1_command_logs/0072_final_readiness_tests.stdout.log,reports/phase1_command_logs/0072_final_readiness_tests.stderr.log,PASS,,,
73,post_cache_tests,python3 -m pytest -q tests/test_post_cache_final_closure.py,.,2026-07-20T18:56:45.713052Z,2026-07-20T18:56:48.517832Z,2.804711,0,reports/phase1_command_logs/0073_post_cache_tests.stdout.log,reports/phase1_command_logs/0073_post_cache_tests.stderr.log,PASS,,,
74,maximum_ceiling_tests,python3 -m pytest -q tests/test_maximum_ceiling.py,.,2026-07-20T18:56:48.609711Z,2026-07-20T18:56:50.338878Z,1.729108,0,reports/phase1_command_logs/0074_maximum_ceiling_tests.stdout.log,reports/phase1_command_logs/0074_maximum_ceiling_tests.stderr.log,PASS,,,
75,kaggle_bundle_tests,python3 -m pytest -q tests/test_v6_cpu_kaggle_packaging.py tests/test_phase1_closure.py,.,2026-07-20T18:56:50.431761Z,2026-07-20T18:56:51.176913Z,0.745085,0,reports/phase1_command_logs/0075_kaggle_bundle_tests.stdout.log,reports/phase1_command_logs/0075_kaggle_bundle_tests.stderr.log,PASS,,,
76,notebook_tests,python3 -m pytest -q tests/test_v7_notebook_quality.py tests/test_cvpr_architecture.py,.,2026-07-20T18:56:58.927548Z,2026-07-20T18:57:01.413897Z,2.486290,0,reports/phase1_command_logs/0076_notebook_tests.stdout.log,reports/phase1_command_logs/0076_notebook_tests.stderr.log,PASS,,,
77,provenance_tests,python3 -m pytest -q tests/test_provenance_ledger.py tests/test_reference_draw_plan.py,.,2026-07-20T18:57:01.505432Z,2026-07-20T18:57:02.095961Z,0.590458,0,reports/phase1_command_logs/0077_provenance_tests.stdout.log,reports/phase1_command_logs/0077_provenance_tests.stderr.log,PASS,,,
78,replay_tests,python3 -m pytest -q tests/test_replay_and_pilot_report_v3.py,.,2026-07-20T18:57:02.187975Z,2026-07-20T18:57:02.747130Z,0.559094,0,reports/phase1_command_logs/0078_replay_tests.stdout.log,reports/phase1_command_logs/0078_replay_tests.stderr.log,PASS,,,
79,claim_evidence_tests,python3 -m pytest -q tests/test_claim_gate.py tests/test_v5_claim_contract.py tests/test_evidence_status.py,.,2026-07-20T18:57:02.837434Z,2026-07-20T18:57:03.362991Z,0.525501,0,reports/phase1_command_logs/0079_claim_evidence_tests.stdout.log,reports/phase1_command_logs/0079_claim_evidence_tests.stderr.log,PASS,,,
80,release_tests,python3 -m pytest -q tests/test_archive_portable.py tests/test_v5_paper_proof_release.py tests/test_v4_claims_paper_review_release.py,.,2026-07-20T18:57:11.046012Z,2026-07-20T18:57:11.558561Z,0.512488,0,reports/phase1_command_logs/0080_release_tests.stdout.log,reports/phase1_command_logs/0080_release_tests.stderr.log,PASS,,,
81,post_cache_repair_tests,python3 -m pytest -q tests/test_v7_importers.py tests/test_feature_cache_v3.py,.,2026-07-20T18:57:11.649954Z,2026-07-20T18:57:12.162369Z,0.512352,0,reports/phase1_command_logs/0081_post_cache_repair_tests.stdout.log,reports/phase1_command_logs/0081_post_cache_repair_tests.stderr.log,PASS,,,
82,final_readiness_forensic_tests,python3 -m pytest -q tests/test_forensic_final_audit.py tests/test_forensic_inventory.py,.,2026-07-20T18:57:12.254275Z,2026-07-20T18:57:12.783331Z,0.528991,0,reports/phase1_command_logs/0082_final_readiness_forensic_tests.stdout.log,reports/phase1_command_logs/0082_final_readiness_forensic_tests.stderr.log,PASS,,,
