sequence,phase,command,cwd,start_utc,end_utc,duration_seconds,exit_code,stdout_log,stderr_log,status,artifacts_created,artifacts_reused,blocker
126,sealed_kaggle_launch,python3 -m certgen audit kaggle-launch --json,.,2026-07-22T04:33:44.291481Z,2026-07-22T04:33:44.654229Z,0.362982,0,reports/final_execution_path_command_logs/0126_sealed_kaggle_launch.stdout.log,reports/final_execution_path_command_logs/0126_sealed_kaggle_launch.stderr.log,PASS,,,
127,sealed_universal_kaggle,python3 -m certgen audit universal-kaggle --json,.,2026-07-22T04:33:44.727704Z,2026-07-22T04:33:44.979927Z,0.252455,0,reports/final_execution_path_command_logs/0127_sealed_universal_kaggle.stdout.log,reports/final_execution_path_command_logs/0127_sealed_universal_kaggle.stderr.log,PASS,,,
128,sealed_final_reports,python3 scripts/generate_final_execution_path_reports.py,.,2026-07-22T04:33:49.074326Z,2026-07-22T04:33:53.021674Z,3.947562,0,reports/final_execution_path_command_logs/0128_sealed_final_reports.stdout.log,reports/final_execution_path_command_logs/0128_sealed_final_reports.stderr.log,PASS,,,
129,sealed_release_archive,python3 -m certgen release build-archive --out dist/certgen_final_kaggle_execution_path_release_final.zip,.,2026-07-22T04:34:32.322610Z,2026-07-22T04:34:41.488977Z,9.166566,0,reports/final_execution_path_command_logs/0129_sealed_release_archive.stdout.log,reports/final_execution_path_command_logs/0129_sealed_release_archive.stderr.log,PASS,dist/certgen_final_kaggle_execution_path_release_final.zip,,
130,clean_extract_compileall,python3 -m compileall -q certgen scripts tests,<external>,2026-07-22T04:35:14.943414Z,2026-07-22T04:35:15.216797Z,0.273528,0,reports/final_execution_path_command_logs/0130_clean_extract_compileall.stdout.log,reports/final_execution_path_command_logs/0130_clean_extract_compileall.stderr.log,PASS,,,
131,clean_extract_imports,python3 -c 'import certgen; import certgen.discovery; import certgen.notebooks.trusted_bootstrap; print(certgen.__version__)',<external>,2026-07-22T04:35:15.289665Z,2026-07-22T04:35:15.380545Z,0.091138,0,reports/final_execution_path_command_logs/0131_clean_extract_imports.stdout.log,reports/final_execution_path_command_logs/0131_clean_extract_imports.stderr.log,PASS,,,
132,clean_extract_notebook_determinism,python3 -m certgen notebooks check-determinism --json,<external>,2026-07-22T04:35:15.455414Z,2026-07-22T04:35:15.641019Z,0.185919,0,reports/final_execution_path_command_logs/0132_clean_extract_notebook_determinism.stdout.log,reports/final_execution_path_command_logs/0132_clean_extract_notebook_determinism.stderr.log,PASS,,,
133,clean_extract_notebook_static,python3 -m certgen audit notebooks --json,<external>,2026-07-22T04:35:15.714325Z,2026-07-22T04:35:15.831689Z,0.117643,0,reports/final_execution_path_command_logs/0133_clean_extract_notebook_static.stdout.log,reports/final_execution_path_command_logs/0133_clean_extract_notebook_static.stderr.log,PASS,,,
134,clean_extract_privacy,"python3 -c 'from certgen.release.privacy_scan import scan_privacy; issues=scan_privacy(); print({""passed"":not issues,""issues"":issues,""claim_allowed"":False}); raise SystemExit(bool(issues))'",<external>,2026-07-22T04:35:15.907367Z,2026-07-22T04:35:15.978847Z,0.071685,0,reports/final_execution_path_command_logs/0134_clean_extract_privacy.stdout.log,reports/final_execution_path_command_logs/0134_clean_extract_privacy.stderr.log,PASS,,,
135,clean_extract_secret_scan,"python3 -c 'from scripts.generate_execution_reports import secret_scan; findings=secret_scan(); print({""passed"":not findings,""findings"":findings,""claim_allowed"":False}); raise SystemExit(bool(findings))'",<external>,2026-07-22T04:35:16.060541Z,2026-07-22T04:35:16.141667Z,0.081271,1,reports/final_execution_path_command_logs/0135_clean_extract_secret_scan.stdout.log,reports/final_execution_path_command_logs/0135_clean_extract_secret_scan.stderr.log,FAIL,,,
