sequence,stage,command,cwd,start_utc,end_utc,duration_seconds,exit_code,stdout_log,stderr_log,status,artifacts_created,artifacts_reused,blocker
44,cpu_autorun_rebuild_corrected_boundary,python3 scripts/run_all_available_cpu_stages.py --resume --explain,.,2026-07-21T09:29:30.116106Z,2026-07-21T09:29:31.441201Z,1.324949,11,reports/execution_command_logs/0044_cpu_autorun_rebuild_corrected_boundary.stdout.log,reports/execution_command_logs/0044_cpu_autorun_rebuild_corrected_boundary.stderr.log,EXPECTED_BOUNDARY,"corrected frozen study, scale plan, sensitivity registry, reference draw, diagnostic/preflight input bundles, handoff reports",validated CIFAR-10 reference manifest and canonical archive,WAITING_FOR_KAGGLE_DIAGNOSTIC
45,artifact_registry_versioning_tests,python3 -m pytest -q tests/test_engineering_evidence_safety.py tests/test_maximum_ceiling.py,.,2026-07-21T09:31:27.153378Z,2026-07-21T09:31:29.207812Z,2.054319,1,reports/execution_command_logs/0045_artifact_registry_versioning_tests.stdout.log,reports/execution_command_logs/0045_artifact_registry_versioning_tests.stderr.log,FAIL,,,
46,provenance_versioning_regression,python3 -m pytest -q tests/test_engineering_evidence_safety.py tests/test_maximum_ceiling.py,.,2026-07-21T09:31:51.270932Z,2026-07-21T09:31:53.689081Z,2.418039,1,reports/execution_command_logs/0046_provenance_versioning_regression.stdout.log,reports/execution_command_logs/0046_provenance_versioning_regression.stderr.log,FAIL,,,
47,provenance_versioning_regression_after_scope_fix,python3 -m pytest -q tests/test_engineering_evidence_safety.py tests/test_maximum_ceiling.py,.,2026-07-21T09:32:14.188068Z,2026-07-21T09:32:16.749095Z,2.560902,0,reports/execution_command_logs/0047_provenance_versioning_regression_after_scope_fix.stdout.log,reports/execution_command_logs/0047_provenance_versioning_regression_after_scope_fix.stderr.log,PASS,,,
48,cpu_autorun_rebuild_after_provenance_fix,python3 scripts/run_all_available_cpu_stages.py --resume --explain,.,2026-07-21T09:32:31.170962Z,2026-07-21T09:32:32.273043Z,1.101968,11,reports/execution_command_logs/0048_cpu_autorun_rebuild_after_provenance_fix.stdout.log,reports/execution_command_logs/0048_cpu_autorun_rebuild_after_provenance_fix.stderr.log,EXPECTED_BOUNDARY,source-current diagnostic/preflight input bundles and refreshed handoff reports,"corrected frozen study, draw, CIFAR reference",WAITING_FOR_KAGGLE_DIAGNOSTIC
49,compileall_final,python3 -m compileall -q certgen scripts tests,.,2026-07-21T09:32:44.628986Z,2026-07-21T09:32:44.731914Z,0.102812,0,reports/execution_command_logs/0049_compileall_final.stdout.log,reports/execution_command_logs/0049_compileall_final.stderr.log,PASS,,,
50,import_surface_final,"python3 -c 'import certgen; import certgen.cvpr; import certgen.phase1; import certgen.features.protocol_checks; print(""imports_ok"")'",.,2026-07-21T09:32:44.802878Z,2026-07-21T09:32:44.894994Z,0.092005,0,reports/execution_command_logs/0050_import_surface_final.stdout.log,reports/execution_command_logs/0050_import_surface_final.stderr.log,PASS,,,
51,ruff_final,python3 -m ruff check certgen scripts tests,.,2026-07-21T09:32:44.966365Z,2026-07-21T09:32:45.024219Z,0.057748,0,reports/execution_command_logs/0051_ruff_final.stdout.log,reports/execution_command_logs/0051_ruff_final.stderr.log,PASS,,,
52,mypy_changed_code_final,python3 -m mypy --no-incremental --follow-imports=skip certgen/cvpr/controls.py certgen/cvpr/image_manifest.py certgen/cvpr/prepare.py certgen/pipeline/v9_next_action.py certgen/cvpr/readiness.py certgen/max_ceiling/contracts.py certgen/max_ceiling/provenance.py certgen/packaging/artifact_registry.py certgen/cvpr/reference_draw.py certgen/cvpr/profiles.py certgen/cvpr/study.py certgen/cvpr/operational.py certgen/phase1/kaggle.py certgen/audit/v9_execution_supercharger_audit.py certgen/features/protocol_checks.py certgen/notebooks/workers/feature_worker.py certgen/cvpr/feature_merge.py certgen/cvpr/post_cache.py certgen/cvpr/gates.py certgen/cvpr/synthetic_runtime.py certgen/cvpr/builder_faithful.py scripts/run_all_available_cpu_stages.py scripts/execution_command_runner.py,.,2026-07-21T09:32:56.837032Z,2026-07-21T09:32:58.535452Z,1.698312,0,reports/execution_command_logs/0052_mypy_changed_code_final.stdout.log,reports/execution_command_logs/0052_mypy_changed_code_final.stderr.log,PASS,,,
53,mypy_full_historical_baseline,python3 -m mypy --no-incremental certgen,.,2026-07-21T09:33:03.772248Z,2026-07-21T09:33:26.622234Z,22.849758,1,reports/execution_command_logs/0053_mypy_full_historical_baseline.stdout.log,reports/execution_command_logs/0053_mypy_full_historical_baseline.stderr.log,EXPECTED_BOUNDARY,,,historical pre-existing whole-repository mypy debt permitted only if not increased
