sequence,phase,command,cwd,start_utc,end_utc,duration_seconds,exit_code,status,stdout_log,stderr_log,artifacts_created,artifacts_reused,blocker,claim_allowed
51,final_provenance,python3 -m certgen provenance verify --study artifacts/cvpr/study/cifar_integrity_minimal.yaml,.,2026-08-12T15:05:58.303599Z,2026-08-12T15:05:58.573958Z,0.269622,0,PASS,reports/icml2027/remaining_closure/command_logs/0051_final_provenance.stdout.log,reports/icml2027/remaining_closure/command_logs/0051_final_provenance.stderr.log,,,,False
52,final_replay,python3 -m certgen replay verify --study artifacts/cvpr/study/cifar_integrity_minimal.yaml,.,2026-08-12T15:05:58.727828Z,2026-08-12T15:05:58.990796Z,0.262063,0,PASS,reports/icml2027/remaining_closure/command_logs/0052_final_replay.stdout.log,reports/icml2027/remaining_closure/command_logs/0052_final_replay.stderr.log,,,,False
53,finalize_remaining_closure_reports,python3 scripts/icml2027/finalize_remaining_closure.py,.,2026-08-12T15:06:07.301803Z,2026-08-12T15:06:07.427147Z,0.124605,0,PASS,reports/icml2027/remaining_closure/command_logs/0053_finalize_remaining_closure_reports.stdout.log,reports/icml2027/remaining_closure/command_logs/0053_finalize_remaining_closure_reports.stderr.log,reports/icml2027/remaining_closure/*.md;reports/icml2027/CERTGEN_ICML2027_CURRENT_STATE_V3.json,,,False
54,final_release_safety,python3 -m certgen.cli.run_release_safety_scan,.,2026-08-12T15:07:08.353207Z,2026-08-12T15:07:08.648954Z,0.294287,0,PASS,reports/icml2027/remaining_closure/command_logs/0054_final_release_safety.stdout.log,reports/icml2027/remaining_closure/command_logs/0054_final_release_safety.stderr.log,,,,False
55,final_privacy,"python3 -c 'from certgen.release.privacy_scan import scan_privacy; issues=scan_privacy(); print({""passed"":not issues,""issues"":issues}); raise SystemExit(bool(issues))'",.,2026-08-12T15:07:08.818408Z,2026-08-12T15:07:08.963497Z,0.143633,0,PASS,reports/icml2027/remaining_closure/command_logs/0055_final_privacy.stdout.log,reports/icml2027/remaining_closure/command_logs/0055_final_privacy.stderr.log,,,,False
56,final_secrets,"python3 -c 'from scripts.generate_execution_reports import secret_scan; findings=secret_scan(); print({""passed"":not findings,""findings"":findings}); raise SystemExit(bool(findings))'",.,2026-08-12T15:07:09.126907Z,2026-08-12T15:07:09.552510Z,0.424359,0,PASS,reports/icml2027/remaining_closure/command_logs/0056_final_secrets.stdout.log,reports/icml2027/remaining_closure/command_logs/0056_final_secrets.stderr.log,,,,False
57,final_restricted_assets,"python3 -c 'from scripts.generate_execution_reports import large_file_audit; rows,blockers=large_file_audit(); restricted=[r for r in rows if r[""classification""]==""restricted_model_asset"" and r[""tracked""]==""true""]; print({""passed"":not blockers and not restricted,""blockers"":blockers,""restricted"":restricted}); raise SystemExit(bool(blockers or restricted))'",.,2026-08-12T15:07:09.777720Z,2026-08-12T15:07:11.270569Z,1.489744,0,PASS,reports/icml2027/remaining_closure/command_logs/0057_final_restricted_assets.stdout.log,reports/icml2027/remaining_closure/command_logs/0057_final_restricted_assets.stderr.log,,,,False
58,final_ruff,python3 -m ruff check certgen scripts tests,.,2026-08-12T15:07:28.407675Z,2026-08-12T15:07:28.522326Z,0.114134,0,PASS,reports/icml2027/remaining_closure/command_logs/0058_final_ruff.stdout.log,reports/icml2027/remaining_closure/command_logs/0058_final_ruff.stderr.log,,,,False
59,final_changed_scope_mypy,python3 -m mypy --follow-imports=skip certgen/icml2027 certgen/generation/generate_cifar10_diffusers.py certgen/features/extract.py scripts/icml2027 tests/icml2027,.,2026-08-12T15:07:28.629364Z,2026-08-12T15:07:29.142419Z,0.512380,0,PASS,reports/icml2027/remaining_closure/command_logs/0059_final_changed_scope_mypy.stdout.log,reports/icml2027/remaining_closure/command_logs/0059_final_changed_scope_mypy.stderr.log,,,,False
60,final_full_mypy_debt,python3 -m mypy certgen scripts,.,2026-08-12T15:07:29.267304Z,2026-08-12T15:07:56.444407Z,27.176016,1,EXPECTED_BOUNDARY,reports/icml2027/remaining_closure/command_logs/0060_final_full_mypy_debt.stdout.log,reports/icml2027/remaining_closure/command_logs/0060_final_full_mypy_debt.stderr.log,,,,False
61,final_full_mypy_debt_nonincrease,python3 -m mypy certgen scripts,.,2026-08-12T15:08:21.850418Z,2026-08-12T15:08:25.208706Z,3.357337,1,EXPECTED_BOUNDARY,reports/icml2027/remaining_closure/command_logs/0061_final_full_mypy_debt_nonincrease.stdout.log,reports/icml2027/remaining_closure/command_logs/0061_final_full_mypy_debt_nonincrease.stderr.log,,,,False
62,refresh_final_reports_after_all_checks,python3 scripts/icml2027/finalize_remaining_closure.py,.,2026-08-12T15:08:48.670033Z,2026-08-12T15:08:48.819740Z,0.148863,0,PASS,reports/icml2027/remaining_closure/command_logs/0062_refresh_final_reports_after_all_checks.stdout.log,reports/icml2027/remaining_closure/command_logs/0062_refresh_final_reports_after_all_checks.stderr.log,reports/icml2027/remaining_closure/*.md;reports/icml2027/CERTGEN_ICML2027_CURRENT_STATE_V3.json,,,False
63,post_report_default_pytest,python3 -m pytest -q,.,2026-08-12T15:08:48.989610Z,2026-08-12T15:09:27.737026Z,38.745918,0,PASS,reports/icml2027/remaining_closure/command_logs/0063_post_report_default_pytest.stdout.log,reports/icml2027/remaining_closure/command_logs/0063_post_report_default_pytest.stderr.log,,tests/*,,False
64,direct_two_pass_builder_bootstrap,python3 -m pytest -q tests/icml2027/test_remaining_closure.py,.,2026-08-12T15:10:12.439188Z,2026-08-12T15:10:14.047409Z,1.607265,1,FAIL,reports/icml2027/remaining_closure/command_logs/0064_direct_two_pass_builder_bootstrap.stdout.log,reports/icml2027/remaining_closure/command_logs/0064_direct_two_pass_builder_bootstrap.stderr.log,,tests/icml2027/test_remaining_closure.py,,False
65,direct_two_pass_builder_bootstrap_pass,python3 -m pytest -q tests/icml2027/test_remaining_closure.py,.,2026-08-12T15:10:51.994290Z,2026-08-12T15:10:59.585559Z,7.588920,1,FAIL,reports/icml2027/remaining_closure/command_logs/0065_direct_two_pass_builder_bootstrap_pass.stdout.log,reports/icml2027/remaining_closure/command_logs/0065_direct_two_pass_builder_bootstrap_pass.stderr.log,,tests/icml2027/test_remaining_closure.py,,False
66,direct_two_pass_builder_bootstrap_final,python3 -m pytest -q tests/icml2027/test_remaining_closure.py,.,2026-08-12T15:11:12.698952Z,2026-08-12T15:11:18.548206Z,5.848564,0,PASS,reports/icml2027/remaining_closure/command_logs/0066_direct_two_pass_builder_bootstrap_final.stdout.log,reports/icml2027/remaining_closure/command_logs/0066_direct_two_pass_builder_bootstrap_final.stderr.log,,tests/icml2027/test_remaining_closure.py,,False
67,final_report_refresh_exact_snapshot,python3 scripts/icml2027/finalize_remaining_closure.py,.,2026-08-12T15:11:30.659168Z,2026-08-12T15:11:30.779343Z,0.119234,0,PASS,reports/icml2027/remaining_closure/command_logs/0067_final_report_refresh_exact_snapshot.stdout.log,reports/icml2027/remaining_closure/command_logs/0067_final_report_refresh_exact_snapshot.stderr.log,reports/icml2027/remaining_closure/*.md;reports/icml2027/CERTGEN_ICML2027_CURRENT_STATE_V3.json,,,False
68,final_post_report_default_suite_exact_snapshot,python3 -m pytest -q,.,2026-08-12T15:11:30.946631Z,2026-08-12T15:12:23.919400Z,52.970822,0,PASS,reports/icml2027/remaining_closure/command_logs/0068_final_post_report_default_suite_exact_snapshot.stdout.log,reports/icml2027/remaining_closure/command_logs/0068_final_post_report_default_suite_exact_snapshot.stderr.log,,tests/*,,False
