scenario,model_count,replicate_id,number_of_comparisons,resolved_edges,unresolved_edges,incorrect_edges,graph_density,transitive_reduction_edges,transitive_reduction_correct,cycles,connected_components,FWER_event,samples_consumed,sample_cost_units,cost_per_certified_edge,CPU_seconds,memory_peak_platform_units,pairwise_matrix_materialized,synthetic_validation_only,not_real_generator_evidence,not_empirical_paper_evidence,claim_allowed
adversarial_local_cycles,5,1,10,0,10,0,0.0,0,True,0,5,False,1280,1280.0,1280.0,0.00016029199468903244,46284800,False,True,True,True,False
adversarial_local_cycles,10,0,45,0,45,0,0.0,0,True,0,10,False,5760,5760.0,5760.0,0.0006323749839793891,46284800,False,True,True,True,False
adversarial_local_cycles,10,1,45,0,45,0,0.0,0,True,0,10,False,5760,5760.0,5760.0,0.0006266669952310622,46284800,False,True,True,True,False
adversarial_local_cycles,20,0,190,0,190,0,0.0,0,True,0,20,False,24320,24320.0,24320.0,0.0025214169872924685,46284800,False,True,True,True,False
adversarial_local_cycles,20,1,190,0,190,0,0.0,0,True,0,20,False,24320,24320.0,24320.0,0.002515125001082197,46284800,False,True,True,True,False
adversarial_local_cycles,50,0,1225,0,1225,0,0.0,0,True,0,50,False,156800,156800.0,156800.0,0.0158554169756826,46284800,False,True,True,True,False
adversarial_local_cycles,50,1,1225,0,1225,0,0.0,0,True,0,50,False,156800,156800.0,156800.0,0.015911208000034094,46284800,False,True,True,True,False
adversarial_local_cycles,100,0,4950,19,4931,0,0.0038383838383838384,19,True,0,84,False,633584,633584.0,33346.52631578947,0.0639063749986235,46284800,False,True,True,True,False
adversarial_local_cycles,100,1,4950,18,4932,0,0.0036363636363636364,18,True,0,86,False,633552,633552.0,35197.333333333336,0.06386299998848699,46284800,False,True,True,True,False
mixed_easy_hard_edges,2,0,1,0,1,0,0.0,0,True,0,2,False,128,128.0,128.0,4.325000918470323e-05,46284800,False,True,True,True,False
mixed_easy_hard_edges,2,1,1,0,1,0,0.0,0,True,0,2,False,128,128.0,128.0,3.6582991015166044e-05,46284800,False,True,True,True,False
mixed_easy_hard_edges,5,0,10,0,10,0,0.0,0,True,0,5,False,1280,1280.0,1280.0,0.00016583301476202905,46284800,False,True,True,True,False
